schoolName,disciplinesRaw,doubleFirstClassRound,sourceTitle,sourceUrl,sourceDate,notes
北京大学,（自主确定建设学科并自行公布）,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
中国人民大学,哲学、理论经济学、应用经济学、法学、政治学、 社会学、马克思主义理论、新闻传播学、中国史、统计学、工商管理、 农林经济管理、公共管理、图书情报与档案管理,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
清华大学,（自主确定建设学科并自行公布）,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
北京交通大学,系统科学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
北京工业大学,土木工程,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
北京航空航天大学,力学、仪器科学与技术、材料科学与工程、 控制科学与工程、计算机科学与技术、交通运输工程、航空宇航科学 与技术、软件工程,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
北京理工大学,物理学、材料科学与工程、控制科学与工程、兵 器科学与技术,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
北京科技大学,科学技术史、材料科学与工程、冶金工程、矿业 工程,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
北京化工大学,化学工程与技术,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
北京邮电大学,信息与通信工程、计算机科学与技术,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
中国农业大学,生物学、农业工程、食品科学与工程、作物学、 农业资源与环境、植物保护、畜牧学、兽医学、草学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
北京林业大学,风景园林学、林学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
北京协和医学院,生物学、生物医学工程、临床医学、公共卫生 与预防医学、药学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
北京中医药大学,中医学、中西医结合、中药学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
北京师范大学,哲学、教育学、心理学、中国语言文学、外国语 言文学、中国史、数学、地理学、系统科学、生态学、环境科学与工 程、戏剧与影视学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
首都师范大学,数学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
北京外国语大学,外国语言文学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
中国传媒大学,新闻传播学、戏剧与影视学,2,第二轮“双一流”建设高校及建设学科名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/202202/W020220214318455516037.pdf,2026-04-21,來源為教育部第二輪雙一流建設高校及建設學科名單附件1；disciplinesRaw為原文中該校後所有學科文本（可能跨行）。
